publication_id	reviewed_by	review_time	decision	canonical_scope	evidence_category	recommendation_eligible	authority_tier	audit_support_level	notes
CAND_PUB_scvi-tools_0214cd4cc2d8	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	scvi-tools core method
CAND_PUB_scvi-tools_e983ebf1014d	human_review	2026-05-18T00:00:00+08:00	formalize	ecosystem_component	architectural_core	false	ecosystem_support	absolute_authority	scvi-tools ecosystem component; Strategy A: trusted supporting evidence, not main recommendation evidence
CAND_PUB_CellPLM_a0805df33b05	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	CellPLM core method
CAND_PUB_SeuratExtend_c1e2e7efeed4	human_review	2026-05-18T00:00:00+08:00	formalize	ecosystem_component	architectural_core	false	ecosystem_support	absolute_authority	SeuratExtend core ecosystem component; Strategy A: trusted supporting evidence, not main recommendation evidence
CAND_PUB_moscot_2f5c815e18fd	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	moscot core method
CAND_PUB_nicheformer_a899071c948d	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	nicheformer core method
CAND_PUB_MOFA2_aa1b75ff2c06	human_review	2026-05-18T00:00:00+08:00	formalize	major_version	architectural_core	true	canonical_secondary	absolute_authority	MOFA2 major version
CAND_PUB_cell2location_34b39045863f	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	cell2location core method
CAND_PUB_scGPT_0cdaba5ffd46	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	scGPT core method
CAND_PUB_scGPT_2eb4be49e9f6	human_review	2026-05-18T00:00:00+08:00	formalize	ecosystem_component	architectural_core	false	ecosystem_support	absolute_authority	scGPT spatial ecosystem component; Strategy A: trusted supporting evidence, not main recommendation evidence
CAND_PUB_CellRank_37ae953d1d1a	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	CellRank core method
CAND_PUB_CellRank_363ead324201	human_review	2026-05-18T00:00:00+08:00	formalize	major_version	architectural_core	true	canonical_secondary	absolute_authority	CellRank 2 major version
CAND_PUB_Scanpy_4671c99f42e8	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	Scanpy core method
CAND_PUB_Scanpy_7fdbdd740af7	human_review	2026-05-18T00:00:00+08:00	formalize	ecosystem_component	architectural_core	false	ecosystem_support	absolute_authority	Scanpy ecosystem component; Strategy A: trusted supporting evidence, not main recommendation evidence
CAND_PUB_Harmony_072fd76703cc	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	Harmony core method
CAND_PUB_Scrublet_137a56b00546	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	Scrublet core method
CAND_PUB_DoubletFinder_03be3bc27cea	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	DoubletFinder core method
CAND_PUB_SoupX_5218c8e163d7	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	SoupX core method
CAND_PUB_CellRank_4aa201bf932e	human_review	2026-05-18T00:00:00+08:00	supporting	workflow_protocol	wrapper_interface	false	contextual_support	empirical_proof	Protocol and workflow support only
CAND_PUB_scvi-tools_06f87e54c475	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	method_extension	false	contextual_support	empirical_proof	Method extension; not canonical scvi-tools method evidence
CAND_PUB_scvi-tools_b2bdf72116bf	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	application_case	false	contextual_support	contextual_use_case	Single-cell Hi-C application case; not canonical scvi-tools method evidence
CAND_PUB_CellPLM_fd35b2a2133f	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	application_case	false	contextual_support	contextual_use_case	Application evidence only
CAND_PUB_moscot_eae5e65e233f	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	method_extension	false	contextual_support	empirical_proof	Method extension; not canonical moscot evidence
CAND_PUB_MOFA_3041b220223a	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	method_extension	false	contextual_support	empirical_proof	MOFA-FLEX extension
CAND_PUB_MOFA_0f26e2a99240	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	application_case	false	contextual_support	contextual_use_case	Vaccine response application case
CAND_PUB_MOFA_93919f506bc3	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	method_extension	false	contextual_support	empirical_proof	MOFA-GAT extension; not canonical MOFA evidence
CAND_PUB_scGPT_db5517aa2bd4	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	application_case	false	contextual_support	contextual_use_case	Leukemia application case
CAND_PUB_scGPT_5bc28b42d45c	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	benchmark_evaluation	false	contextual_support	empirical_proof	Evaluation or fine-tuning evidence only
CAND_PUB_Seurat_bd75b9091845	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	benchmark_evaluation	false	contextual_support	empirical_proof	Seurat argument pitfall evaluation
CAND_PUB_Seurat_454a78daf3a3	human_review	2026-05-18T00:00:00+08:00	supporting	workflow_protocol	wrapper_interface	false	contextual_support	contextual_use_case	Seurat and Scanpy reproducible workflow protocol
CAND_PUB_Scanpy_454a78daf3a3	human_review	2026-05-18T00:00:00+08:00	supporting	workflow_protocol	wrapper_interface	false	contextual_support	contextual_use_case	Seurat and Scanpy reproducible workflow protocol
CAND_PUB_Seurat_60157e3024b4	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	wrapper_interface	false	contextual_support	contextual_use_case	Seurat Shiny wrapper
CAND_PUB_Seurat_93163226cbf1	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	wrapper_interface	false	contextual_support	contextual_use_case	Seurat web wrapper
CAND_PUB_Seurat_e050d2f72ad8	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	wrapper_interface	false	contextual_support	contextual_use_case	Seurat object visualization wrapper
CAND_PUB_Seurat_1a55f7f15352	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	wrapper_interface	false	contextual_support	contextual_use_case	Seurat pipeline wrapper
CAND_PUB_Seurat_77855202e52e	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	wrapper_interface	false	contextual_support	contextual_use_case	CRAN/package metadata; manual Seurat primary paper anchoring still required
CAND_PUB_Seurat_de98c08fdba4	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	method_extension	false	contextual_support	empirical_proof	STACAS method extension
CAND_PUB_DoubletFinder_10be5588515f	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	benchmark_evaluation	false	contextual_support	empirical_proof	Vaeda doublet annotation evaluation
CAND_PUB_SoupX_b1b2e2560c39	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	wrapper_interface	false	contextual_support	contextual_use_case	SoupX wrapper/package metadata
CAND_PUB_Harmony_7508d7d621bb	human_review	2026-05-18T00:00:00+08:00	supporting	non_canonical	wrapper_interface	false	contextual_support	contextual_use_case	Harmony CRAN/package metadata
CAND_PUB_scvi-tools_a9c3e64c6338	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate preprint of CAND_PUB_scvi-tools_e983ebf1014d
CAND_PUB_SeuratExtend_8a7332b5c9af	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate preprint of CAND_PUB_SeuratExtend_c1e2e7efeed4
CAND_PUB_moscot_cdf53fcd8ab2	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate preprint of CAND_PUB_moscot_2f5c815e18fd
CAND_PUB_nicheformer_a01b6480d42a	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate/preprint-like version of CAND_PUB_nicheformer_a899071c948d
CAND_PUB_nicheformer_2d05378381f4	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate preprint of CAND_PUB_nicheformer_a899071c948d
CAND_PUB_MOFA2_b4282568b081	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate preprint of CAND_PUB_MOFA2_aa1b75ff2c06
CAND_PUB_MOFA_b19425a116c6	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	legacy_version	false	provenance_only	provenance_only	Legacy MOFA v1 preprint; superseded by MOFA+ formal record
CAND_PUB_scGPT_85208f675e63	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate preprint of CAND_PUB_scGPT_0cdaba5ffd46
CAND_PUB_CellRank_9c9c58a5793d	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate preprint of CAND_PUB_CellRank_37ae953d1d1a
CAND_PUB_CellRank_d91736322bb3	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate preprint-like version of CAND_PUB_CellRank_37ae953d1d1a
CAND_PUB_Scanpy_6f4843abf941	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate preprint of CAND_PUB_Scanpy_4671c99f42e8
CAND_PUB_Scanpy_4b08e6ebb832	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate Scirpy preprint of CAND_PUB_Scanpy_7fdbdd740af7
CAND_PUB_Scanpy_5d71ef7b2a78	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate Scirpy preprint of CAND_PUB_Scanpy_7fdbdd740af7
CAND_PUB_Scrublet_cde57151d883	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate preprint of CAND_PUB_Scrublet_137a56b00546
CAND_PUB_DoubletFinder_337f4f369ca5	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate preprint of CAND_PUB_DoubletFinder_03be3bc27cea
CAND_PUB_SoupX_12aef91cea09	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	preprint_duplicate	false	provenance_only	provenance_only	Duplicate preprint of CAND_PUB_SoupX_5218c8e163d7
CAND_PUB_MAESTRO_aad5c38bcb9d	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	secondary_review_shell	false	provenance_only	provenance_only	Faculty Opinions secondary review shell
CAND_PUB_SingleR_8c7c430a52b8	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	conference_abstract	false	provenance_only	provenance_only	Conference abstract; not primary SingleR evidence
CAND_PUB_scGPT_395264679da1	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	conference_abstract	false	provenance_only	provenance_only	Conference abstract; not primary scGPT evidence
CAND_PUB_Harmony_fdefc5628ea6	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	disciplinary_noise	false	provenance_only	provenance_only	Vocabulary collision; not Harmony integration method evidence
CAND_PUB_Harmony_a3ff4431d8fa	human_review	2026-05-18T00:00:00+08:00	quarantine	provenance_only	disciplinary_noise	false	provenance_only	provenance_only	Vocabulary collision; not Harmony integration method evidence
NO_CAND_MIMOSCA	human_review	2026-05-18T00:00:00+08:00	no_candidate_found	manual_anchor_required	missing_primary_mapping	false	manual_required	manual_required	Manual primary paper mapping required
NO_CAND_scIB	human_review	2026-05-18T00:00:00+08:00	no_candidate_found	manual_anchor_required	missing_primary_mapping	false	manual_required	manual_required	Manual primary paper mapping required
NO_CAND_tradeSeq	human_review	2026-05-18T00:00:00+08:00	no_candidate_found	manual_anchor_required	missing_primary_mapping	false	manual_required	manual_required	Manual primary paper mapping required
NO_CAND_velociraptor	human_review	2026-05-18T00:00:00+08:00	no_candidate_found	manual_anchor_required	missing_primary_mapping	false	manual_required	manual_required	Manual primary paper mapping required
NO_CAND_wot	human_review	2026-05-18T00:00:00+08:00	no_candidate_found	manual_anchor_required	missing_primary_mapping	false	manual_required	manual_required	Manual primary paper mapping required
NO_CAND_CellTypist	human_review	2026-05-18T00:00:00+08:00	no_candidate_found	manual_anchor_required	missing_primary_mapping	false	manual_required	manual_required	Manual primary paper mapping required
NO_CAND_scVelo	human_review	2026-05-18T00:00:00+08:00	no_candidate_found	manual_anchor_required	missing_primary_mapping	false	manual_required	manual_required	Manual primary paper mapping required
CAND_PUB_Seurat_v3_2019_Stuart	human_review	2026-05-19T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	Seurat V3 core method anchor; wrapper/protocol candidates remain supporting or quarantine.
CAND_PUB_Seurat_v4_2021_Hao	human_review	2026-05-19T00:00:00+08:00	formalize	major_version	architectural_core	true	canonical_secondary	absolute_authority	Seurat V4 major-version multimodal anchor.
CAND_PUB_SingleR_2019_Aran	human_review	2026-05-19T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	SingleR official/canonical citation; human-supplied DOI corrected before formalization.
CAND_PUB_MAESTRO_2020_Wang	human_review	2026-05-19T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	MAESTRO canonical Genome Biology paper; editorial shell remains quarantine.
CAND_PUB_MIMOSCA_7882e7558c0e	human_review	2026-05-19T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	MIMOSCA computational framework anchor within Perturb-seq paper; boundary risk retained in notes.
