severity	issue_type	table_name	record_id	tool_name	field_name	field_value	issue_detail	suggested_action	recommendation_grade_risk
high	missing_work_group_id	tool_benchmarks	HR_BMK_CellTypist_annotation_2023	CellTypist	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_DoubletFinder_doublet_detection_2020	DoubletFinder	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_Harmony_scIB_integration_2022	Harmony	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_MOFA2_jDR_cancer_2021	MOFA2	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_Scanpy_batch_correction_2020	Scanpy	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_Scrublet_doublet_detection_2020	Scrublet	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_Seurat_scIB_integration_2022	Seurat	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_SingleR_annotation_2023	SingleR	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_SoupX_ambient_decontamination_2026	SoupX	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_cell2location_spatial_deconvolution_2022	cell2location	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_scGPT_SAE_interpretability_2026	scGPT	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_scVelo_velocity_unraveled_2022	scVelo	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_scvi_tools_scIB_integration_2022	scvi-tools	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_tradeSeq_trajectory_de_2024	tradeSeq	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_CellPLM_a0805df33b05	CellPLM	publication_id	CAND_PUB_CellPLM_a0805df33b05	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_CellRank_363ead324201	CellRank	publication_id	CAND_PUB_CellRank_363ead324201	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_CellRank_37ae953d1d1a	CellRank	publication_id	CAND_PUB_CellRank_37ae953d1d1a	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_CellTypist_0ab6945053d3	CellTypist	publication_id	CAND_PUB_CellTypist_0ab6945053d3	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_DoubletFinder_03be3bc27cea	DoubletFinder	publication_id	CAND_PUB_DoubletFinder_03be3bc27cea	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_Harmony_072fd76703cc	Harmony	publication_id	CAND_PUB_Harmony_072fd76703cc	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_MAESTRO_2020_Wang	MAESTRO	publication_id	CAND_PUB_MAESTRO_2020_Wang	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_MIMOSCA_7882e7558c0e	MIMOSCA	publication_id	CAND_PUB_MIMOSCA_7882e7558c0e	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_MOFA2_aa1b75ff2c06	MOFA2	publication_id	CAND_PUB_MOFA2_aa1b75ff2c06	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_Scanpy_4671c99f42e8	Scanpy	publication_id	CAND_PUB_Scanpy_4671c99f42e8	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_Scanpy_7fdbdd740af7	Scanpy	publication_id	CAND_PUB_Scanpy_7fdbdd740af7	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_Scrublet_137a56b00546	Scrublet	publication_id	CAND_PUB_Scrublet_137a56b00546	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_SeuratExtend_c1e2e7efeed4	SeuratExtend	publication_id	CAND_PUB_SeuratExtend_c1e2e7efeed4	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_Seurat_v3_2019_Stuart	Seurat	publication_id	CAND_PUB_Seurat_v3_2019_Stuart	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_Seurat_v4_2021_Hao	Seurat	publication_id	CAND_PUB_Seurat_v4_2021_Hao	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_SingleR_2019_Aran	SingleR	publication_id	CAND_PUB_SingleR_2019_Aran	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_SoupX_5218c8e163d7	SoupX	publication_id	CAND_PUB_SoupX_5218c8e163d7	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_cell2location_34b39045863f	cell2location	publication_id	CAND_PUB_cell2location_34b39045863f	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_moscot_2f5c815e18fd	moscot	publication_id	CAND_PUB_moscot_2f5c815e18fd	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_nicheformer_a899071c948d	nicheformer	publication_id	CAND_PUB_nicheformer_a899071c948d	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_scGPT_0cdaba5ffd46	scGPT	publication_id	CAND_PUB_scGPT_0cdaba5ffd46	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_scGPT_2eb4be49e9f6	scGPT	publication_id	CAND_PUB_scGPT_2eb4be49e9f6	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_scIB_02fe7fd09f0d	scIB	publication_id	CAND_PUB_scIB_02fe7fd09f0d	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_scVelo_524cf1f1f80e	scVelo	publication_id	CAND_PUB_scVelo_524cf1f1f80e	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_scvi-tools_0214cd4cc2d8	scvi-tools	publication_id	CAND_PUB_scvi-tools_0214cd4cc2d8	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_scvi-tools_e983ebf1014d	scvi-tools	publication_id	CAND_PUB_scvi-tools_e983ebf1014d	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_tradeSeq_f20b8273a8d0	tradeSeq	publication_id	CAND_PUB_tradeSeq_f20b8273a8d0	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	candidate_marker_in_formal_table	tool_publications	CAND_PUB_wot_5704efaab479	wot	publication_id	CAND_PUB_wot_5704efaab479	Formal evidence row still carries candidate-origin markers such as CAND_* or candidate_only notes.	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.	medium
medium	default_trunk_isolated_tool	tool_publications	CAND_PUB_CellPLM_a0805df33b05	CellPLM	task		This tool will not appear in the default Tool-Task trunk because no reviewed task edge can be drawn.	Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.	medium
medium	default_trunk_isolated_tool	tool_publications	CAND_PUB_Scanpy_4671c99f42e8	Scanpy	task		This tool will not appear in the default Tool-Task trunk because no reviewed task edge can be drawn.	Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.	medium
medium	default_trunk_isolated_tool	tool_publications	CAND_PUB_Scanpy_7fdbdd740af7	Scanpy	task		This tool will not appear in the default Tool-Task trunk because no reviewed task edge can be drawn.	Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.	medium
medium	default_trunk_isolated_tool	tool_publications	CAND_PUB_SeuratExtend_c1e2e7efeed4	SeuratExtend	task		This tool will not appear in the default Tool-Task trunk because no reviewed task edge can be drawn.	Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.	medium
medium	default_trunk_isolated_tool	tool_publications	CAND_PUB_scGPT_0cdaba5ffd46	scGPT	task		This tool will not appear in the default Tool-Task trunk because no reviewed task edge can be drawn.	Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.	medium
medium	default_trunk_isolated_tool	tool_publications	CAND_PUB_scvi-tools_0214cd4cc2d8	scvi-tools	task		This tool will not appear in the default Tool-Task trunk because no reviewed task edge can be drawn.	Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.	medium
medium	default_trunk_isolated_tool	tool_publications	CAND_PUB_scvi-tools_e983ebf1014d	scvi-tools	task		This tool will not appear in the default Tool-Task trunk because no reviewed task edge can be drawn.	Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.	medium
medium	duplicate_paper_doi	tool_benchmarks	HR_BMK_CellTypist_annotation_2023	CellTypist	paper_doi	10.1093/bib/bbad418	paper_doi appears in multiple formal rows: HR_BMK_CellTypist_annotation_2023;HR_BMK_SingleR_annotation_2023; tools=CellTypist;SingleR.	Review whether rows should share work_group_id or be marked non-canonical/supporting.	medium
medium	duplicate_paper_doi	tool_benchmarks	HR_BMK_DoubletFinder_doublet_detection_2020	DoubletFinder	paper_doi	10.1016/j.cels.2020.11.008	paper_doi appears in multiple formal rows: HR_BMK_DoubletFinder_doublet_detection_2020;HR_BMK_Scrublet_doublet_detection_2020; tools=DoubletFinder;Scrublet.	Review whether rows should share work_group_id or be marked non-canonical/supporting.	medium
medium	duplicate_paper_doi	tool_benchmarks	HR_BMK_Harmony_scIB_integration_2022	Harmony	paper_doi	10.1038/s41592-021-01336-8	paper_doi appears in multiple formal rows: HR_BMK_Harmony_scIB_integration_2022;HR_BMK_Seurat_scIB_integration_2022;HR_BMK_scvi_tools_scIB_integration_2022; tools=Harmony;Seurat;scvi-tools.	Review whether rows should share work_group_id or be marked non-canonical/supporting.	medium
medium	duplicate_paper_doi	tool_benchmarks	HR_BMK_Scrublet_doublet_detection_2020	Scrublet	paper_doi	10.1016/j.cels.2020.11.008	paper_doi appears in multiple formal rows: HR_BMK_DoubletFinder_doublet_detection_2020;HR_BMK_Scrublet_doublet_detection_2020; tools=DoubletFinder;Scrublet.	Review whether rows should share work_group_id or be marked non-canonical/supporting.	medium
medium	duplicate_paper_doi	tool_benchmarks	HR_BMK_Seurat_scIB_integration_2022	Seurat	paper_doi	10.1038/s41592-021-01336-8	paper_doi appears in multiple formal rows: HR_BMK_Harmony_scIB_integration_2022;HR_BMK_Seurat_scIB_integration_2022;HR_BMK_scvi_tools_scIB_integration_2022; tools=Harmony;Seurat;scvi-tools.	Review whether rows should share work_group_id or be marked non-canonical/supporting.	medium
medium	duplicate_paper_doi	tool_benchmarks	HR_BMK_SingleR_annotation_2023	SingleR	paper_doi	10.1093/bib/bbad418	paper_doi appears in multiple formal rows: HR_BMK_CellTypist_annotation_2023;HR_BMK_SingleR_annotation_2023; tools=CellTypist;SingleR.	Review whether rows should share work_group_id or be marked non-canonical/supporting.	medium
medium	duplicate_paper_doi	tool_benchmarks	HR_BMK_scvi_tools_scIB_integration_2022	scvi-tools	paper_doi	10.1038/s41592-021-01336-8	paper_doi appears in multiple formal rows: HR_BMK_Harmony_scIB_integration_2022;HR_BMK_Seurat_scIB_integration_2022;HR_BMK_scvi_tools_scIB_integration_2022; tools=Harmony;Seurat;scvi-tools.	Review whether rows should share work_group_id or be marked non-canonical/supporting.	medium
