review_priority	action_type	table_name	record_id	tool_name	issue_types	current_value	recommended_action	formal_table_mutation_allowed	reviewer_decision	reviewer_notes
P1	canonical_group_review	tool_benchmarks	HR_BMK_CellTypist_annotation_2023	CellTypist	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1093/bib/bbad418; paper_title=A comprehensive benchmarking of cell type annotation methods for single-cell RNA sequencing; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_DoubletFinder_doublet_detection_2020	DoubletFinder	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1016/j.cels.2020.11.008; paper_title=Benchmarking Computational Doublet-Detection Methods for Single-Cell RNA Sequencing Data; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_Harmony_scIB_integration_2022	Harmony	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1038/s41592-021-01336-8; paper_title=Benchmarking atlas-level data integration in single-cell genomics; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_MOFA2_jDR_cancer_2021	MOFA2	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_Scanpy_batch_correction_2020	Scanpy	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_Scrublet_doublet_detection_2020	Scrublet	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1016/j.cels.2020.11.008; paper_title=Benchmarking Computational Doublet-Detection Methods for Single-Cell RNA Sequencing Data; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_Seurat_scIB_integration_2022	Seurat	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1038/s41592-021-01336-8; paper_title=Benchmarking atlas-level data integration in single-cell genomics; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_SingleR_annotation_2023	SingleR	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1093/bib/bbad418; paper_title=A comprehensive benchmarking of cell type annotation methods for single-cell RNA sequencing; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_SoupX_ambient_decontamination_2026	SoupX	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_cell2location_spatial_deconvolution_2022	cell2location	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_scGPT_SAE_interpretability_2026	scGPT	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_scVelo_velocity_unraveled_2022	scVelo	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_scvi_tools_scIB_integration_2022	scvi-tools	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1038/s41592-021-01336-8; paper_title=Benchmarking atlas-level data integration in single-cell genomics; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_tradeSeq_trajectory_de_2024	tradeSeq	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_CellPLM_a0805df33b05	CellPLM	candidate_marker_in_formal_table;default_trunk_isolated_tool;empty_task_node;missing_pmid;missing_task	publication_id=CAND_PUB_CellPLM_a0805df33b05; task=; task=; task=; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.; Either supply a reviewed task label or keep the record evidence-only until task mapping is approved.; Add reviewed task mapping or keep record evidence-only without Tool-Task visual edge.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_CellRank_363ead324201	CellRank	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_CellRank_363ead324201; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_CellRank_37ae953d1d1a	CellRank	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_CellRank_37ae953d1d1a; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_CellTypist_0ab6945053d3	CellTypist	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_CellTypist_0ab6945053d3; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_DoubletFinder_03be3bc27cea	DoubletFinder	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_DoubletFinder_03be3bc27cea; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_Harmony_072fd76703cc	Harmony	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_Harmony_072fd76703cc; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_MAESTRO_2020_Wang	MAESTRO	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_MAESTRO_2020_Wang; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_MIMOSCA_7882e7558c0e	MIMOSCA	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_MIMOSCA_7882e7558c0e; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_MOFA2_aa1b75ff2c06	MOFA2	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_MOFA2_aa1b75ff2c06; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_Scanpy_4671c99f42e8	Scanpy	candidate_marker_in_formal_table;default_trunk_isolated_tool;empty_task_node;missing_pmid;missing_task	publication_id=CAND_PUB_Scanpy_4671c99f42e8; task=; task=; task=; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.; Either supply a reviewed task label or keep the record evidence-only until task mapping is approved.; Add reviewed task mapping or keep record evidence-only without Tool-Task visual edge.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_Scanpy_7fdbdd740af7	Scanpy	candidate_marker_in_formal_table;default_trunk_isolated_tool;empty_task_node;missing_pmid;missing_task	publication_id=CAND_PUB_Scanpy_7fdbdd740af7; task=; task=; task=; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.; Either supply a reviewed task label or keep the record evidence-only until task mapping is approved.; Add reviewed task mapping or keep record evidence-only without Tool-Task visual edge.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_Scrublet_137a56b00546	Scrublet	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_Scrublet_137a56b00546; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_SeuratExtend_c1e2e7efeed4	SeuratExtend	candidate_marker_in_formal_table;default_trunk_isolated_tool;empty_task_node;missing_pmid;missing_task	publication_id=CAND_PUB_SeuratExtend_c1e2e7efeed4; task=; task=; task=; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.; Either supply a reviewed task label or keep the record evidence-only until task mapping is approved.; Add reviewed task mapping or keep record evidence-only without Tool-Task visual edge.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_Seurat_v3_2019_Stuart	Seurat	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_Seurat_v3_2019_Stuart; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_Seurat_v4_2021_Hao	Seurat	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_Seurat_v4_2021_Hao; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_SingleR_2019_Aran	SingleR	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_SingleR_2019_Aran; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_SoupX_5218c8e163d7	SoupX	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_SoupX_5218c8e163d7; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_cell2location_34b39045863f	cell2location	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_cell2location_34b39045863f; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_moscot_2f5c815e18fd	moscot	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_moscot_2f5c815e18fd; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_nicheformer_a899071c948d	nicheformer	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_nicheformer_a899071c948d; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_scGPT_0cdaba5ffd46	scGPT	candidate_marker_in_formal_table;default_trunk_isolated_tool;empty_task_node;missing_pmid;missing_task	publication_id=CAND_PUB_scGPT_0cdaba5ffd46; task=; task=; task=; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.; Either supply a reviewed task label or keep the record evidence-only until task mapping is approved.; Add reviewed task mapping or keep record evidence-only without Tool-Task visual edge.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_scGPT_2eb4be49e9f6	scGPT	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_scGPT_2eb4be49e9f6; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_scIB_02fe7fd09f0d	scIB	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_scIB_02fe7fd09f0d; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_scVelo_524cf1f1f80e	scVelo	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_scVelo_524cf1f1f80e; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_scvi-tools_0214cd4cc2d8	scvi-tools	candidate_marker_in_formal_table;default_trunk_isolated_tool;empty_task_node;missing_pmid;missing_task	publication_id=CAND_PUB_scvi-tools_0214cd4cc2d8; task=; task=; task=; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.; Either supply a reviewed task label or keep the record evidence-only until task mapping is approved.; Add reviewed task mapping or keep record evidence-only without Tool-Task visual edge.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_scvi-tools_e983ebf1014d	scvi-tools	candidate_marker_in_formal_table;default_trunk_isolated_tool;empty_task_node;missing_pmid;missing_task	publication_id=CAND_PUB_scvi-tools_e983ebf1014d; task=; task=; task=; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.; Either supply a reviewed task label or keep the record evidence-only until task mapping is approved.; Add reviewed task mapping or keep record evidence-only without Tool-Task visual edge.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_tradeSeq_f20b8273a8d0	tradeSeq	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_tradeSeq_f20b8273a8d0; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_wot_5704efaab479	wot	candidate_marker_in_formal_table;missing_pmid	publication_id=CAND_PUB_wot_5704efaab479; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P3	canonical_group_review	graph_edges	CellRank__Spatial_Mapping	CellRank	duplicate_tool_task_edge	tool_task=Spatial Mapping	Keep one visual edge and expose provenance count/details in node or edge metadata.	false		
P3	canonical_group_review	graph_edges	CellTypist__Cell_Type_Annotation	CellTypist	duplicate_tool_task_edge	tool_task=Cell Type Annotation	Keep one visual edge and expose provenance count/details in node or edge metadata.	false		
P3	canonical_group_review	graph_edges	Harmony__Data_Integration	Harmony	duplicate_tool_task_edge	tool_task=Data Integration	Keep one visual edge and expose provenance count/details in node or edge metadata.	false		
P3	canonical_group_review	graph_edges	Seurat__Data_Integration	Seurat	duplicate_tool_task_edge	tool_task=Data Integration	Keep one visual edge and expose provenance count/details in node or edge metadata.	false		
P3	canonical_group_review	graph_edges	SingleR__Cell_Type_Annotation	SingleR	duplicate_tool_task_edge	tool_task=Cell Type Annotation	Keep one visual edge and expose provenance count/details in node or edge metadata.	false		
P3	canonical_group_review	graph_edges	scVelo__RNA_Velocity	scVelo	duplicate_tool_task_edge	tool_task=RNA Velocity	Keep one visual edge and expose provenance count/details in node or edge metadata.	false		
P3	visualization_policy_review	graph_nodes	Task:Data_Integration		high_degree_hub	degree=9	Use default Tool-Task trunk, search-first expansion, or per-kind limits to reduce visual hub effects.	false		
