tool_name	algorithm_family	model_assumption	distance_metric	optimization_objective	input_object	output_object	supported_task	supported_modality	transferable_mechanism	known_limitations	review_status	reviewer_notes
scVelo	kinetic RNA velocity	splicing dynamics can be approximated by deterministic ordinary differential equations that imply continuous cell-state transition vectors	velocity vector cosine similarity; phase portrait likelihood	fit phase portraits and maximize latent-time consistency with observed spliced/unspliced density	AnnData with spliced and unspliced layers	velocity vectors; latent time; transition graph	RNA Velocity	scRNA-seq	Dynamical state-transition modeling may inspire perturbation or trajectory direction hypotheses when splicing layers exist.	Strongly depends on kNN smoothing and kinetic assumptions; heterogeneous systems or complex splicing can cause distorted or reversed trajectories.	profile_validated	Human reviewed: mathematical assumptions and caveats validated; keep as RNA-velocity-specific mechanism, not a generic trajectory solver.
tradeSeq	generalized additive model	gene expression evolves smoothly along one-dimensional pseudotime or lineage curves	negative binomial likelihood with spline basis functions	optimize spline regression weights and run Wald tests over lineages	count matrix plus pseudotime and lineage weights	trajectory-associated genes; Wald test statistics; pattern clusters	Trajectory Differential Expression	scRNA-seq	Smooth lineage-wise regression can transfer to ordered perturbation, dose, or time-response settings with explicit continuous covariates.	Does not infer trajectories; requires high-confidence external pseudotime and lineage weights.	profile_validated	Human reviewed: accepted only when ordered covariates or lineage weights exist.
wot	optimal transport	cell populations evolve between time snapshots through transport-like couplings with growth/death regularization	regularized Earth mover / Kantorovich optimal transport distance	infer probabilistic couplings and transport matrices between time points	time-resolved expression snapshots	transport maps; ancestor-descendant couplings	Optimal Transport Trajectory	scRNA-seq	Population transport formulation can inspire temporal mapping for sparse developmental or perturbation time courses.	Requires dense developmental time-series sampling; fails for jump-like or long-interval perturbation transitions.	profile_validated	Human reviewed: migration use must require a shared state space and dense time points.
moscot	fused Gromov-Wasserstein optimal transport	cross-time, cross-space, or cross-modality states can be approximated by matching heterogeneous cost structures	fused Gromov-Wasserstein transport cost	optimize couplings while balancing intra-modality and inter-modality costs	AnnData objects with features, time, spatial, or batch covariates	transport plans; mappings; lineage or spatial correspondences	Optimal Transport Trajectory	scRNA-seq; Spatial Transcriptomics	Flexible cost design can transfer to spatial, temporal, or cross-modality mapping problems where direct tools are immature.	Computational cost can scale quadratically with cells and depends heavily on user-defined cost matrices.	profile_validated	Human reviewed: accepted as high-skill exploratory mechanism requiring manual fused-cost tuning.
MIMOSCA	linear regression model	discrete perturbation effects can be decomposed into additive linear transcriptomic shifts	linear model residual fit; OLS or ridge regression	estimate perturbation coefficients by minimizing residual likelihood	Perturb-seq expression matrix plus perturbation labels	perturbation effect coefficients; response genes	Perturbation Differential Expression	scRNA-seq	Additive perturbation-effect modeling can seed conservative treatment/control response hypotheses.	Captures only additive linear shifts; misses nonlinear epistasis and multimodal response landscapes.	profile_validated	Human reviewed: native perturbation mechanism, but must carry nonlinear-response caveat.
CellRank	Markov chain fate mapping	cell-state transitions can be modeled as stochastic random walks over local neighborhood graphs	transition probabilities; Schur decomposition	coarse-grain transition matrix into macrostates and estimate absorption probabilities	AnnData with transition matrix, velocity, pseudotime, or kernels	fate probabilities; macrostates; driver genes	Trajectory Inference	scRNA-seq	Kernel composition and fate absorption ideas can transfer to novel dynamic-state analyses.	Framework quality is bounded by the input transition kernel; not a DE or perturbation model by itself.	profile_validated	Human reviewed: validated as topology/fate mapping mechanism with kernel-quality dependency.
cell2location	Bayesian hierarchical spatial deconvolution	spatial spots are linear mixtures of fine-grained reference cell-type expression profiles	negative binomial likelihood; Bayesian posterior inference	infer absolute cell-type abundance posterior per spatial location	spatial count matrix plus matched scRNA-seq reference	cell abundance estimates; posterior uncertainty	Spatial Deconvolution	Spatial Transcriptomics	Bayesian count deconvolution can inspire migration to other mixture-resolution spatial assays.	Requires matched high-quality scRNA-seq reference; not a self-supervised spatial representation model.	profile_validated	Human reviewed: dedicated deconvolution mechanism; do not conflate with spatial foundation models.
MOFA2	Bayesian latent factor model	heterogeneous multi-omics layers share sparse, interpretable latent factors with view-specific structure	Bayesian multi-view factor likelihood; variance explained	maximize multi-view reconstruction likelihood with sparse orthogonal latent factors	matched multi-omics matrices	latent factors; feature weights; variance decomposition	Multiome Integration	scRNA-seq+scATAC-seq; multi-omics	Multi-view factorization can transfer to matched multi-omics perturbation or sparse joint representation problems.	Not optimized for all clustering metrics; strongest value is interpretable biology, pathway factors, and survival-associated latent structure.	profile_validated	Human reviewed: scoped to interpretable latent factors, not universal clustering superiority.
scvi-tools	deep variational autoencoder	discrete count features can be generated from continuous latent variables while accounting for technical covariates	negative binomial or zero-inflated negative binomial likelihood; ELBO	maximize variational lower bound for batch-aware latent representation	AnnData count matrix with batch or covariate annotations	latent embedding; denoised expression; batch-aware representation	Data Integration	scRNA-seq	Probabilistic latent-variable modeling can transfer to new single-cell representation and uncertainty tasks.	Black-box deep model; small datasets may overfit and require careful training diagnostics.	profile_validated	Human reviewed: benchmark support must remain task-specific.
Harmony	iterative soft clustering	batch effects can be corrected in low-dimensional embedding space through entropy-regularized soft clustering	cosine distance in embedding space; entropy-regularized cluster cost	optimize batch-diverse soft clusters and batch-specific correction vectors	PCA or low-dimensional embedding	batch-corrected embedding	Data Integration	scRNA-seq; scATAC-seq	Embedding-level correction can transfer to fast integration scenarios with precomputed representations.	Does not model raw counts; correction ceiling is locked by the quality of the input PCA or embedding matrix.	profile_validated	Human reviewed: accepted as embedding-correction mechanism only.
Scanpy	graph-based single-cell analysis toolkit	neighborhood graphs capture local cellular manifold structure for standard single-cell workflows	kNN graph distances; PCA and UMAP metrics	build scalable preprocessing, graph, clustering, and analysis workflows	AnnData	count matrices; neighbors; embeddings; clusters	QC; Clustering; Data Integration	scRNA-seq	AnnData-centered graph construction and workflow patterns can transfer to new single-cell pipeline designs.	Toolkit, not a single algorithm; benchmark claims must be task-specific and cannot generalize across all Scanpy functions.	profile_validated	Human reviewed: boundary tightened to workflow/toolkit mechanism, not one canonical algorithm.
Seurat	anchor-based integration and multimodal workflow	shared biological states can be linked by anchors across batches or modalities	CCA/RPCA/WNN neighborhood similarity	find anchors, weighted nearest neighbors, and integrated representations	SeuratObject; multimodal single-cell objects	integrated embeddings; labels; multimodal neighbors	Data Integration; Multiome Integration	scRNA-seq; scRNA-seq+scATAC-seq	Anchor and WNN ideas can transfer to cross-modal or multi-view matching hypotheses.	Version and workflow specific; claims must specify Seurat version and task, and cannot be treated as a single fixed algorithm.	profile_validated	Human reviewed: I/O contract locked to SeuratObject and multimodal workflow patterns.
scGPT	transformer foundation model	self-supervised Transformer attention can capture gene-expression context and cell representations	attention similarity; embedding distance; masked expression reconstruction loss	pretrain gene/cell representations with masked modeling and contrastive objectives	gene expression matrix or tokenized cell representation	cell embeddings; gene embeddings; prediction outputs	Foundation Model Representation	scRNA-seq	Foundation embeddings can seed exploratory transfer for representation, annotation, or perturbation-response hypotheses.	Third-party downstream biological evaluation is still early; embeddings cannot directly establish causal regulatory networks.	profile_validated	Human reviewed: feature extraction only for migration; block direct causal GRN claims.
CellPLM	cell language model / foundation model	pretrained cellular representations may transfer across single-cell tasks	embedding similarity; attention patterns	pretrain or fine-tune cellular representation models	expression matrix	cell embeddings; task-specific predictions	Foundation Model Representation	scRNA-seq	Pretrained cell embeddings may transfer to rare tasks where direct supervised tools are absent.	Independent third-party benchmarks are limited; migration claims must remain exploratory.	profile_validated	Human reviewed: accepted as foundation representation profile with benchmark caveat.
nicheformer	spatial transformer / niche-aware foundation model	cell representations are modulated by local spatial microenvironment or niche context	embedding similarity; transformer attention over expression and context	learn context-aware cellular embeddings with autoregressive or contrastive objectives	single-cell or spatial expression with context features	context-aware embeddings; downstream predictions	Foundation Model Representation	scRNA-seq; Spatial Transcriptomics	Niche-aware embeddings may inspire exploratory microenvironment or spatial-context modeling.	Must never replace dedicated spatial deconvolution tools such as cell2location without task-specific evidence.	profile_validated	Human reviewed: boundary tightened to exploratory niche representation, not deconvolution.
DoubletFinder	artificial-neighbor doublet detection	doublets resemble artificial merged profiles in expression neighborhood space	pANN; nearest-neighbor proportion	classify cells by artificial doublet neighborhood enrichment	SeuratObject or expression matrix	doublet scores; doublet calls	Doublet Detection	scRNA-seq	Artificial example generation can transfer to anomaly detection tasks with synthetic controls.	Tuned for scRNA-seq doublets; not a generic contamination or artifact detector without a new simulator.	profile_validated	Human reviewed: I/O contract and synthetic-positive mechanism validated.
Scrublet	simulated doublet classifier	observed doublets are close to simulated transcriptomic doublets in kNN space	kNN similarity to simulated doublets	score cells by simulated-doublet neighborhood enrichment	count matrix	doublet scores; predicted doublets	Doublet Detection	scRNA-seq	Simulation-based anomaly scoring can inspire exploratory QC migration for sparse artifact classes.	Requires task-specific synthetic positive generator and threshold validation; not designed for ambient RNA removal.	profile_validated	Human reviewed: accepted as transferable simulation/anomaly mechanism with simulator caveat.
SoupX	ambient RNA contamination model	empty-droplet or background profiles approximate additive ambient contamination	marker and background contamination estimates	estimate and subtract ambient RNA fraction from droplet counts	droplet count matrix with clusters and background profile	decontaminated count matrix	Ambient RNA Removal	scRNA-seq	Background-profile subtraction can transfer to spatial or non-droplet contamination-removal hypotheses.	Requires meaningful background profile and marker preservation checks; spatial use needs background-spot reinterpretation.	profile_validated	Human reviewed: accepted as contamination-modeling profile, not generic QC.
CellTypist	supervised cell type classifier	reference-trained classifiers generalize to query datasets with similar cell-type coverage	logistic regression confidence or probability scores	assign cell types from curated reference models	expression matrix	cell type labels; confidence scores	Cell Type Annotation	scRNA-seq	Supervised reference-label transfer can seed annotation hypotheses for related tissues.	Performance depends on reference coverage, label granularity, and domain shift.	profile_validated	Human reviewed: I/O contract locked to expression matrix and curated reference models.
SingleR	reference correlation annotation	cell labels can be assigned by correlation to reference expression profiles	Spearman or correlation similarity	match query cells to reference cell-type profiles	expression matrix plus reference profiles	cell type labels; pruned labels	Cell Type Annotation	scRNA-seq	Reference correlation scoring can transfer to conservative annotation tasks with strong reference atlases.	Reference quality and label hierarchy dominate performance; weak for unseen cell states.	profile_validated	Human reviewed: I/O and reference-dependence validated.
