publication_id	work_group_id	canonical_flag	duplicate_of	record_type	source_record_id	tool_name	tool_alias	title	authors	first_author	corresponding_author	doi	pmid	arxiv_id	paper_url	pdf_url	publication_year	venue	publisher	paper_type	evidence_role	abstract	keywords	task	modality	species	technology	dataset_names	benchmark_included	open_source_reported	github_url	license_reported	citation_source	citations	citation_count_source	source_url	source_type	extraction_method	claim_text	claim_span	confidence	trust_level	review_status	reviewed_by	review_time	kg_version	embedding_version	created_at	updated_at	last_checked	notes	human_review_decision	canonical_scope	evidence_category	recommendation_eligible	authority_tier	audit_support_level
CAND_PUB_CellPLM_a0805df33b05	PUBWG_CAND_PUB_CellPLM_a0805df33b05	true		publication	10.1101/2023.10.03.560734	CellPLM	CellPLM	CellPLM: Pre-training of Cell Language Model Beyond Single Cells	Hongzhi Wen;Wenzhuo Tang;Xinnan Dai;Jiayuan Ding;Wei Jin;Yuying Xie;Jiliang Tang	Hongzhi Wen		10.1101/2023.10.03.560734			https://doi.org/10.1101/2023.10.03.560734		2023		openRxiv	method_paper	primary_method_reference								false		https://github.com/OmicsML/CellPLM	BSD-2-Clause	Crossref	62	Crossref:is-referenced-by-count	https://doi.org/10.1101/2023.10.03.560734	crossref	crossref_api_candidate_search		CellPLM: Pre-training of Cell Language Model Beyond Single Cells	0.850	trusted_core	human_reviewed	human_review	2026-05-18T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	candidate_only; requires human review before ingest; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; audit_support_level=absolute_authority; human_review_notes=CellPLM core method; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; authority_tier=canonical_primary; audit_support_level=absolute_authority; human_review_notes=CellPLM core method	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority
CAND_PUB_CellRank_37ae953d1d1a	PUBWG_CAND_PUB_CellRank_37ae953d1d1a	true		publication	10.1038/s41592-021-01346-6	CellRank	cellrank;CellRank	CellRank for directed single-cell fate mapping	Marius Lange;Volker Bergen;Michal Klein;Manu Setty;Bernhard Reuter;Mostafa Bakhti;Heiko Lickert;Meshal Ansari;Janine Schniering;Herbert B. Schiller;Dana Pe’er;Fabian J. Theis	Marius Lange		10.1038/s41592-021-01346-6			https://doi.org/10.1038/s41592-021-01346-6	https://www.nature.com/articles/s41592-021-01346-6.pdf	2022	Nature Methods	Springer Science and Business Media LLC	method_paper	primary_method_reference			Spatial Mapping					false		https://github.com/theislab/cellrank	BSD-3-Clause	Crossref	693	Crossref:is-referenced-by-count	https://doi.org/10.1038/s41592-021-01346-6	crossref	crossref_api_candidate_search		CellRank for directed single-cell fate mapping	0.850	trusted_core	human_reviewed	human_review	2026-05-18T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	candidate_only; requires human review before ingest; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; audit_support_level=absolute_authority; human_review_notes=CellRank core method; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; authority_tier=canonical_primary; audit_support_level=absolute_authority; human_review_notes=CellRank core method	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority
CAND_PUB_CellRank_363ead324201	PUBWG_CAND_PUB_CellRank_363ead324201	true		publication	10.1038/s41592-024-02303-9	CellRank	cellrank;CellRank	CellRank 2: unified fate mapping in multiview single-cell data	Philipp Weiler;Marius Lange;Michal Klein;Dana Pe’er;Fabian Theis	Philipp Weiler		10.1038/s41592-024-02303-9			https://doi.org/10.1038/s41592-024-02303-9	https://www.nature.com/articles/s41592-024-02303-9.pdf	2024	Nature Methods	Springer Science and Business Media LLC	method_paper	primary_method_reference			Spatial Mapping					false		https://github.com/theislab/cellrank	BSD-3-Clause	Crossref	191	Crossref:is-referenced-by-count	https://doi.org/10.1038/s41592-024-02303-9	crossref	crossref_api_candidate_search		CellRank 2: unified fate mapping in multiview single-cell data	0.850	trusted_core	human_reviewed	human_review	2026-05-18T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	candidate_only; requires human review before ingest; formal_ingest_from_human_review; canonical_scope=major_version; evidence_category=architectural_core; audit_support_level=absolute_authority; human_review_notes=CellRank 2 major version; formal_ingest_from_human_review; canonical_scope=major_version; evidence_category=architectural_core; authority_tier=canonical_secondary; audit_support_level=absolute_authority; human_review_notes=CellRank 2 major version	formalize	major_version	architectural_core	true	canonical_secondary	absolute_authority
CAND_PUB_CellTypist_0ab6945053d3	PUBWG_CAND_PUB_CellTypist_0ab6945053d3	true		publication	10.1126/science.abl5197	CellTypist	CellTypist	Cross-tissue immune cell analysis reveals tissue-specific features in humans	Cecilia Dominguez Conde;Chuan Xu;Laura B. Jarvis;Daniel B. Rainbow;Sarah B. Wells;Tiago Gomes;Sarah K. Howlett;Ondrej Suchanek;Krzysztof Polanski;Hamish W. King;Muzlifah Haniffa;Sarah A. Teichmann	Cecilia Dominguez Conde		10.1126/science.abl5197			https://doi.org/10.1126/science.abl5197		2022	Science	American Association for the Advancement of Science	method_paper	primary_method_reference		cell type annotation;immune atlas;single-cell	Cell Type Annotation	scRNA-seq	human			false	true	https://github.com/Teichlab/celltypist	MIT				https://doi.org/10.1126/science.abl5197	manual	manual_canonical_anchor_seed		Cross-tissue immune cell analysis reveals tissue-specific features in humans	0.850	trusted_core	human_reviewed	human_review	2026-05-18T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-18T00:00:00+08:00	2026-05-18T00:00:00+08:00	2026-05-18T00:00:00+08:00	candidate_only; manual canonical anchor seed; requires human review before ingest; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; authority_tier=canonical_primary; audit_support_level=absolute_authority; human_review_notes=CellTypist official citation; title does not contain tool name but official repository anchors this paper	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority
CAND_PUB_DoubletFinder_03be3bc27cea	PUBWG_CAND_PUB_DoubletFinder_03be3bc27cea	true		publication	10.1016/j.cels.2019.03.003	DoubletFinder	DoubletFinder	DoubletFinder: Doublet Detection in Single-Cell RNA Sequencing Data Using Artificial Nearest Neighbors	Christopher S. McGinnis;Lyndsay M. Murrow;Zev J. Gartner	Christopher S. McGinnis		10.1016/j.cels.2019.03.003			https://doi.org/10.1016/j.cels.2019.03.003		2019	Cell Systems	Elsevier BV	method_paper	primary_method_reference			QC	scRNA-seq				false		https://github.com/chris-mcginnis-ucsf/DoubletFinder	CC0-1.0	Crossref	4035	Crossref:is-referenced-by-count	https://doi.org/10.1016/j.cels.2019.03.003	crossref	crossref_api_candidate_search		DoubletFinder: Doublet Detection in Single-Cell RNA Sequencing Data Using Artificial Nearest Neighbors	0.850	trusted_core	human_reviewed	human_review	2026-05-18T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	candidate_only; requires human review before ingest; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; audit_support_level=absolute_authority; human_review_notes=DoubletFinder core method; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; authority_tier=canonical_primary; audit_support_level=absolute_authority; human_review_notes=DoubletFinder core method	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority
CAND_PUB_Harmony_072fd76703cc	PUBWG_CAND_PUB_Harmony_072fd76703cc	true		publication	10.1101/461954	Harmony	Harmony	Fast, sensitive, and accurate integration of single cell data with Harmony	Ilya Korsunsky;Jean Fan;Kamil Slowikowski;Fan Zhang;Kevin Wei;Yuriy Baglaenko;Michael Brenner;Po-Ru Loh;Soumya Raychaudhuri	Ilya Korsunsky		10.1101/461954			https://doi.org/10.1101/461954		2018		openRxiv	method_paper	primary_method_reference			Data Integration					false		https://github.com/immunogenomics/harmony	GPL-3.0	Crossref	108	Crossref:is-referenced-by-count	https://doi.org/10.1101/461954	crossref	crossref_api_candidate_search		Fast, sensitive, and accurate integration of single cell data with Harmony	0.850	trusted_core	human_reviewed	human_review	2026-05-18T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	candidate_only; requires human review before ingest; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; audit_support_level=absolute_authority; human_review_notes=Harmony core method; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; authority_tier=canonical_primary; audit_support_level=absolute_authority; human_review_notes=Harmony core method	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority
CAND_PUB_MAESTRO_2020_Wang	PUBWG_CAND_PUB_MAESTRO_2020_Wang	true		publication	10.1186/s13059-020-02116-x	MAESTRO	MAESTRO	Integrative analysis of single-cell transcriptome and regulome using MAESTRO	Chen Wang;Xiaomeng Sun;Shuying Peng;Ying Yao;Yi Chen;Yingying Liu;X. Shirley Liu	Chen Wang		10.1186/s13059-020-02116-x			https://doi.org/10.1186/s13059-020-02116-x		2020	Genome Biology	Springer Science and Business Media LLC	method_paper	primary_method_reference			Multi-omics Workflow;Regulome Analysis	scRNA-seq;scATAC-seq				false	true	https://github.com/liulab-dfci/MAESTRO	GPL-3.0				https://doi.org/10.1186/s13059-020-02116-x	manual	manual_canonical_anchor_seed		Integrative analysis of single-cell transcriptome and regulome using MAESTRO	0.90	trusted_core	human_reviewed	human_review	2026-05-19T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-19T00:00:00+08:00	2026-05-19T00:00:00+08:00	2026-05-19T00:00:00+08:00	candidate_only; manual canonical anchor seed; requires human review before ingest; manual MAESTRO canonical anchor; corrected human-supplied DOI 10.1186/s13059-020-02022-2 to official DOI 10.1186/s13059-020-02116-x; editorial shell quarantined; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; authority_tier=canonical_primary; audit_support_level=absolute_authority; human_review_notes=MAESTRO canonical Genome Biology paper; editorial shell remains quarantine.	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority
CAND_PUB_MIMOSCA_7882e7558c0e	PUBWG_CAND_PUB_MIMOSCA_7882e7558c0e	true		publication	10.1016/j.cell.2016.11.038	MIMOSCA	MIMOSCA	Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens	Atray Dixit;Oren Parnas;Biyu Li;Jenny Chen;Charles P. Fulco;Livnat Jerby-Arnon;Nemanja D. Marjanovic;Danielle Dionne;Tyler Burks;Raktima Raychowdhury;Britt Adamson;Thomas M. Norman;Eric S. Lander;Jonathan S. Weissman;Nir Friedman;Aviv Regev	Atray Dixit		10.1016/j.cell.2016.11.038			https://doi.org/10.1016/j.cell.2016.11.038		2016	Cell	Elsevier BV	method_paper	primary_method_reference			Perturbation Analysis;Multi-condition Analysis	scRNA-seq				false	true	https://github.com/asncd/MIMOSCA	MIT				https://doi.org/10.1016/j.cell.2016.11.038	manual	manual_canonical_anchor_seed		Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens	0.80	trusted_core	human_reviewed	human_review	2026-05-19T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-19T00:00:00+08:00	2026-05-19T00:00:00+08:00	2026-05-19T00:00:00+08:00	candidate_only; manual canonical anchor seed; requires human review before ingest; manual MIMOSCA anchor from human review; MIMOSCA treated as core computational framework within Perturb-seq; assay/method boundary noted; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; authority_tier=canonical_primary; audit_support_level=absolute_authority; human_review_notes=MIMOSCA computational framework anchor within Perturb-seq paper; boundary risk retained in notes.	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority
CAND_PUB_MOFA2_aa1b75ff2c06	PUBWG_CAND_PUB_MOFA2_aa1b75ff2c06	true		application	10.1186/s13059-020-02015-1	MOFA2	MOFA;MOFA2	MOFA+: a statistical framework for comprehensive integration of multi-modal single-cell data	Ricard Argelaguet;Damien Arnol;Danila Bredikhin;Yonatan Deloro;Britta Velten;John C. Marioni;Oliver Stegle	Ricard Argelaguet		10.1186/s13059-020-02015-1			https://doi.org/10.1186/s13059-020-02015-1	https://link.springer.com/content/pdf/10.1186/s13059-020-02015-1.pdf	2020	Genome Biology	Springer Science and Business Media LLC	application_paper	application_evidence			Data Integration					false		https://github.com/bioFAM/MOFA2	LGPL-3.0	Crossref	857	Crossref:is-referenced-by-count	https://doi.org/10.1186/s13059-020-02015-1	crossref	crossref_api_candidate_search		MOFA+: a statistical framework for comprehensive integration of multi-modal single-cell data	0.650	trusted_core	human_reviewed	human_review	2026-05-18T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	candidate_only; requires human review before ingest; formal_ingest_from_human_review; canonical_scope=major_version; evidence_category=architectural_core; audit_support_level=absolute_authority; human_review_notes=MOFA2 major version; formal_ingest_from_human_review; canonical_scope=major_version; evidence_category=architectural_core; authority_tier=canonical_secondary; audit_support_level=absolute_authority; human_review_notes=MOFA2 major version	formalize	major_version	architectural_core	true	canonical_secondary	absolute_authority
CAND_PUB_Scanpy_4671c99f42e8	PUBWG_CAND_PUB_Scanpy_4671c99f42e8	true		publication	10.1186/s13059-017-1382-0	Scanpy	Scanpy	SCANPY: large-scale single-cell gene expression data analysis	F. Alexander Wolf;Philipp Angerer;Fabian J. Theis	F. Alexander Wolf		10.1186/s13059-017-1382-0			https://doi.org/10.1186/s13059-017-1382-0	http://link.springer.com/content/pdf/10.1186/s13059-017-1382-0.pdf	2018	Genome Biology	Springer Science and Business Media LLC	method_paper	primary_method_reference								false		https://github.com/theislab/scanpy	BSD-3-Clause	Crossref	8132	Crossref:is-referenced-by-count	https://doi.org/10.1186/s13059-017-1382-0	crossref	crossref_api_candidate_search		SCANPY: large-scale single-cell gene expression data analysis	0.700	trusted_core	human_reviewed	human_review	2026-05-18T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	candidate_only; requires human review before ingest; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; audit_support_level=absolute_authority; human_review_notes=Scanpy core method; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; authority_tier=canonical_primary; audit_support_level=absolute_authority; human_review_notes=Scanpy core method	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority
CAND_PUB_Scanpy_7fdbdd740af7	PUBWG_CAND_PUB_Scanpy_7fdbdd740af7	true		publication	10.1093/bioinformatics/btaa611	Scanpy	Scanpy	Scirpy: a Scanpy extension for analyzing single-cell T-cell receptor-sequencing data	Gregor Sturm;Tamas Szabo;Georgios Fotakis;Marlene Haider;Dietmar Rieder;Zlatko Trajanoski;Francesca Finotello	Gregor Sturm		10.1093/bioinformatics/btaa611			https://doi.org/10.1093/bioinformatics/btaa611	http://academic.oup.com/bioinformatics/advance-article-pdf/doi/10.1093/bioinformatics/btaa611/33620207/btaa611.pdf	2020	Bioinformatics	Oxford University Press (OUP)	method_paper	primary_method_reference								false		https://github.com/theislab/scanpy	BSD-3-Clause	Crossref	170	Crossref:is-referenced-by-count	https://doi.org/10.1093/bioinformatics/btaa611	crossref	crossref_api_candidate_search		Scirpy: a Scanpy extension for analyzing single-cell T-cell receptor-sequencing data	0.850	trusted_core	human_reviewed	human_review	2026-05-18T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	candidate_only; requires human review before ingest; formal_ingest_from_human_review; canonical_scope=ecosystem_component; evidence_category=architectural_core; audit_support_level=absolute_authority; human_review_notes=Scanpy ecosystem component; formal_ingest_from_human_review; canonical_scope=ecosystem_component; evidence_category=architectural_core; authority_tier=ecosystem_support; audit_support_level=absolute_authority; human_review_notes=Scanpy ecosystem component; Strategy A: trusted supporting evidence, not main recommendation evidence	formalize	ecosystem_component	architectural_core	false	ecosystem_support	absolute_authority
CAND_PUB_Scrublet_137a56b00546	PUBWG_CAND_PUB_Scrublet_137a56b00546	true		publication	10.1016/j.cels.2018.11.005	Scrublet	Scrublet	Scrublet: Computational Identification of Cell Doublets in Single-Cell Transcriptomic Data	Samuel L. Wolock;Romain Lopez;Allon M. Klein	Samuel L. Wolock		10.1016/j.cels.2018.11.005			https://doi.org/10.1016/j.cels.2018.11.005		2019	Cell Systems	Elsevier BV	method_paper	primary_method_reference			QC	scRNA-seq				false		https://github.com/AllonKleinLab/scrublet	MIT	Crossref	2568	Crossref:is-referenced-by-count	https://doi.org/10.1016/j.cels.2018.11.005	crossref	crossref_api_candidate_search		Scrublet: Computational Identification of Cell Doublets in Single-Cell Transcriptomic Data	0.850	trusted_core	human_reviewed	human_review	2026-05-18T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	2026-05-14T08:12:18.963164+00:00	candidate_only; requires human review before ingest; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; audit_support_level=absolute_authority; human_review_notes=Scrublet core method; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; authority_tier=canonical_primary; audit_support_level=absolute_authority; human_review_notes=Scrublet core method	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority
CAND_PUB_Seurat_v3_2019_Stuart	PUBWG_Seurat_core_versions	true		publication	10.1016/j.cell.2019.05.031	Seurat	Seurat;Seurat v3	Comprehensive Integration of Single-Cell Data	Tim Stuart;Andrew Butler;Paul Hoffman;Christoph Hafemeister;Efthymia Papalexi;William M. Mauck III;Yuhan Hao;Marion Stoeckius;Peter Smibert;Rahul Satija	Tim Stuart		10.1016/j.cell.2019.05.031			https://doi.org/10.1016/j.cell.2019.05.031		2019	Cell	Elsevier BV	method_paper	primary_method_reference			Data Integration	scRNA-seq				false	true	https://github.com/satijalab/seurat	GPL-3.0				https://doi.org/10.1016/j.cell.2019.05.031	manual	manual_canonical_anchor_seed		Comprehensive Integration of Single-Cell Data	0.95	trusted_core	human_reviewed	human_review	2026-05-19T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-19T00:00:00+08:00	2026-05-19T00:00:00+08:00	2026-05-19T00:00:00+08:00	candidate_only; manual canonical anchor seed; requires human review before ingest; manual Seurat V3 core anchor from human review; wrappers/protocols excluded from canonical authority; formal_ingest_from_human_review; canonical_scope=core_tool; evidence_category=architectural_core; authority_tier=canonical_primary; audit_support_level=absolute_authority; human_review_notes=Seurat V3 core method anchor; wrapper/protocol candidates remain supporting or quarantine.	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority
CAND_PUB_Seurat_v4_2021_Hao	PUBWG_Seurat_core_versions	true		publication	10.1016/j.cell.2021.04.048	Seurat	Seurat;Seurat v4	Integrated analysis of multimodal single-cell data	Yuhan Hao;Stephanie Hao;Erica Andersen-Nissen;William M. Mauck III;Shiwei Zheng;Andrew Butler;Maddie J. Lee;Aaron J. Wilk;Charlotte Darby;Michael Zager;Paul Hoffman;Marion Stoeckius;Efthymia Papalexi;Eric P. Mimitou;Jaison Jain;Aviv Srivastava;Tim Stuart;Lamar B. Fleming;Bertrand Yeung;Angela J. Rogers;Jason M. McElrath;Catherine A. Blish;Rapolas Gottardo;Peter Smibert;Rahul Satija	Yuhan Hao		10.1016/j.cell.2021.04.048			https://doi.org/10.1016/j.cell.2021.04.048		2021	Cell	Elsevier BV	method_paper	primary_method_reference			Data Integration;Multimodal Analysis	scRNA-seq;multiome				false	true	https://github.com/satijalab/seurat	GPL-3.0				https://doi.org/10.1016/j.cell.2021.04.048	manual	manual_canonical_anchor_seed		Integrated analysis of multimodal single-cell data	0.95	trusted_core	human_reviewed	human_review	2026-05-19T00:00:00+08:00	v0.1	bge-m3-v0.1	2026-05-19T00:00:00+08:00	2026-05-19T00:00:00+08:00	2026-05-19T00:00:00+08:00	candidate_only; manual canonical anchor seed; requires human review before ingest; manual Seurat V4 major-version anchor from human review; multimodal analysis authority; formal_ingest_from_human_review; canonical_scope=major_version; evidence_category=architectural_core; authority_tier=canonical_secondary; audit_support_level=absolute_authority; human_review_notes=Seurat V4 major-version multimodal anchor.	formalize	major_version	architectural_core	true	canonical_secondary	absolute_authority
